title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"… of novel NLRP3 inhibitors as therapeutic options for epilepsy by machine learning-based virtual screening, molecular docking and biomolecular simulation studies","M Zulfat, MA Hakami, A Hazazi, A Mahmood, A Khalid…",2024,22,… -based virtual screening … virtual screening has the potential to accurately predict protein-ligand binding and reduce false positives outcomes compared to traditional virtual screening. …,ceMry0Kvd-EJ,"M Zulfat, MA Hakami, A Hazazi, A Mahmood, A Khalid… - Heliyon, 2024 - cell.com",[],https://www.cell.com/heliyon/fulltext/S2405-8440(24)10441-0,unknown,unknown
"Structure-based virtual screening, molecular docking, molecular dynamics simulation, and metabolic reactivity studies of quinazoline derivatives for their anti-EGFR …","AA Shah, S Ahmad, MK Yadav, K Raza…",2024,58,"… -based virtual screening, molecular docking, and molecular dynamics … virtual screening and the Lipinski rule of five drug-likeness studies. Molecular docking-based virtual screening …",118GYr_TmI8J,"AA Shah, S Ahmad, MK Yadav, K Raza… - Current Medicinal …, 2024 - benthamdirect.com",[],https://www.benthamdirect.com/content/journals/cmc/10.2174/0929867330666230309143711,unknown,unknown
